Word,Translation
chip (n. A2),çip
chocolate (n. A1),şokolad
choice (n. A2),seçim
choose (v. A1),seçmək
church (n. A2),kilsə
cigarette (n. A2),siqaret
cinema (n. A1),kinoteatr
"circle (n., v. A2)",dairə
circumstance (n. B2),"vəziyyət, şərait"
cite (v. B2),sitat gətirmək
citizen (n. B2),vətəndaş
city (n. A1),şəhər
civil (adj. B2),mülki
"claim (v., n. B1)",iddia etmək
class (n. A1),sinif
"classic (adj., n. B2)",klassik
classical (adj. A2),klassik
classroom (n. A1),sinif otağı
clause (n. B1),bənd
"clean (adj., v. A1)",təmiz
"clear (adj. A2, v. B1)",aydın
clearly (adv. A2),aydın şəkildə
clever (adj. A2),ağıllı
"click (v., n. B1)",klikləmək
client (n. B1),müştəri
climate (n. A2),iqlim
"climb (v. A1, n. B1)",dırmaşmaq
clock (n. A1),saat
"close (v. A1, n. B2)",bağlamaq
"close (adj. A2, adv. B1)",yaxın
closed (adj. A2),bağlı
closely (adv. B2),yaxından
cloth (n. B1),parça
clothes (n. A1),paltar
clothing (n. A2),geyim
cloud (n. A2),bulud
club (n. A1),klub
clue (n. B1),ipucu
"coach (n. A2, v. B1)",məşqçi
coal (n. B1),kömür
coast (n. A2),sahil
coat (n. A1),palto
code (n. A2),kod
coffee (n. A1),qəhvə
coin (n. B1),sikkə
"cold (adj., n. A1)",soyuq
"collapse (v., n. B2)",çökmək
colleague (n. A2),həmkar
collect (v. A2),toplamaq
collection (n. B1),kolleksiya
college (n. A1),kollec
colour (n. A1),rəng
coloured (adj. B1),rəngli
column (n. A2),sütun
combination (n. B2),kombinasiya
combine (v. B1),birləşdirmək
come (v. A1),gəlmək
comedy (n. A2),komediya
"comfort (n., v. B2)",rahatlıq
comfortable (adj. A2),rahat
"command (n., v. B2)",əmr
"comment (n. A2, v. B1)",şərh
"commercial (adj., n. B1)",kommersiya
"commission (n., v. B2)",komissiya
commit (v. B1),"törətmək, öhdəsinə götürmək"
commitment (n. B2),öhdəlik
committee (n. B2),komitə
"common (adj., n. A1)","ümumi, adi"
commonly (adv. B2),adətən
communicate (v. A2),əlaqə saxlamaq
communication (n. B1),kommunikasiya
community (n. A2),icma
company (n. A1),şirkət
compare (v. A1),müqayisə etmək
comparison (n. B1),müqayisə
compete (v. A2),rəqabət aparmaq
competition (n. A2),"müsabiqə, rəqabət"
competitive (adj. B1),rəqabətli
competitor (n. B1),rəqib
complain (v. A2),şikayət etmək
complaint (n. B1),şikayət
"complete (adj., v. A1)",tam
completely (adv. A2),tamamilə
"complex (adj. B1, n. B2)",mürəkkəb
complicated (adj. B2),mürəkkəb
component (n. B2),komponent
